iter	Passed	Remaining
0	2	2513
1	4	2456
2	7	2369
3	8	2147
4	10	2106
5	12	2106
6	14	2119
7	17	2152
8	19	2185
9	21	2176
10	24	2164
11	25	2072
12	27	2066
13	29	2068
14	31	2071
15	34	2115
16	36	2129
17	38	2123
18	40	2095
19	42	2090
20	44	2087
21	46	2084
22	50	2131
23	52	2137
24	54	2134
25	56	2127
26	58	2119
27	60	2116
28	63	2119
29	66	2136
30	68	2144
31	71	2148
32	73	2142
33	75	2136
34	77	2136
35	79	2139
36	82	2159
37	85	2162
38	87	2160
39	89	2156
40	91	2149
41	94	2144
42	96	2139
43	98	2141
44	100	2135
45	102	2129
46	104	2128
47	107	2122
48	109	2117
49	111	2110
50	113	2114
51	115	2108
52	117	2104
53	119	2100
54	121	2093
55	124	2090
56	126	2086
57	128	2083
58	130	2088
59	133	2086
60	135	2081
61	137	2076
62	139	2073
63	141	2068
64	143	2064
65	145	2062
66	148	2061
67	150	2056
68	152	2051
69	154	2048
70	156	2044
71	158	2041
72	160	2042
73	163	2040
74	165	2036
75	167	2032
76	169	2034
77	172	2037
78	174	2038
79	177	2037
80	179	2036
81	181	2031
82	183	2027
83	186	2028
84	188	2025
85	190	2021
86	192	2017
87	194	2017
88	197	2017
89	199	2015
90	201	2010
91	203	2009
92	205	2005
93	207	2001
94	210	2001
95	212	2000
96	214	1997
97	216	1996
98	219	1995
99	221	1995
100	223	1992
101	226	1993
102	228	1990
103	230	1987
104	232	1982
105	234	1980
106	236	1976
107	238	1972
108	241	1971
109	243	1968
110	245	1965
111	247	1961
112	249	1958
113	251	1955
114	253	1951
115	255	1948
116	257	1946
117	260	1944
118	262	1940
119	264	1938
120	266	1935
121	268	1931
122	270	1929
123	272	1927
124	275	1925
125	277	1922
126	279	1918
127	281	1914
128	283	1911
129	285	1908
130	287	1905
131	290	1908
132	292	1907
133	294	1905
134	295	1896
135	298	1893
136	300	1891
137	302	1888
138	304	1886
139	307	1887
140	309	1885
141	311	1882
142	313	1880
143	315	1876
144	317	1873
145	320	1871
146	322	1872
147	324	1870
148	327	1867
149	329	1865
150	331	1862
151	333	1858
152	335	1856
153	337	1855
154	340	1853
155	342	1850
156	344	1847
157	346	1844
158	348	1842
159	350	1840
160	353	1839
161	355	1839
162	358	1840
163	360	1837
164	362	1834
165	364	1831
166	366	1828
167	369	1828
168	371	1826
169	373	1824
170	375	1821
171	377	1818
172	379	1814
173	381	1812
174	384	1810
175	386	1808
176	388	1806
177	390	1803
178	392	1800
179	394	1797
180	396	1796
181	399	1793
182	401	1792
183	403	1790
184	406	1788
185	408	1786
186	410	1783
187	412	1781
188	414	1777
189	415	1770
190	417	1768
191	419	1766
192	421	1763
193	423	1760
194	425	1757
195	426	1750
196	428	1747
197	430	1744
198	432	1742
199	435	1740
200	437	1737
201	439	1734
202	441	1731
203	443	1729
204	445	1726
205	447	1723
206	449	1721
207	451	1719
208	453	1717
209	455	1714
210	457	1712
211	459	1709
212	461	1706
213	463	1703
214	466	1701
215	468	1699
216	470	1696
217	472	1694
218	474	1691
219	476	1689
220	478	1686
221	480	1684
222	483	1683
223	485	1680
224	487	1678
225	489	1676
226	491	1674
227	494	1673
228	496	1671
229	498	1670
230	501	1668
231	503	1666
232	505	1663
233	507	1661
234	509	1659
235	512	1657
236	514	1656
237	516	1654
238	518	1652
239	521	1650
240	523	1648
241	525	1645
242	527	1642
243	529	1641
244	531	1638
245	533	1636
246	535	1633
247	537	1630
248	539	1627
249	541	1625
250	543	1623
251	546	1621
252	548	1619
253	550	1617
254	552	1614
255	554	1612
256	556	1609
257	558	1606
258	561	1605
259	563	1604
260	565	1601
